top - 06:48:50 up 2 days, 21:40,  3 users,  load average: 0.25, 0.42, 0.38
Tasks: 234 total,   1 running, 228 sleeping,   3 stopped,   2 zombie
%Cpu(s):  1.7 us,  0.7 sy,  0.0 ni, 95.9 id,  1.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem:   3924064 total,  2702380 used,  1221684 free,   150068 buffers
KiB Swap:  3983356 total,      360 used,  3982996 free.  1300100 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  774 root      20   0    2800    724    508 S   0.0  0.0   0:00.62 rpcbind
  781 root      20   0   53804   5936   4204 S   0.0  0.2   1:24.05 NetworkManager
  787 root      20   0   36108   8604   2948 S   0.0  0.2   0:01.19 polkitd
  798 root      20   0    8016   3288   1908 S   0.0  0.1   0:12.45 wpa_supplicant
  799 root      20   0   28676   3080   1624 S   0.0  0.1   0:01.05 smbd
  810 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  919 root      20   0    5512   2700    980 S   0.0  0.1   0:00.13 dhclient
  966 root      20   0    4644    824    700 S   0.0  0.0   0:00.00 getty
  971 root      20   0    4644    812    700 S   0.0  0.0   0:00.00 getty
  980 root      20   0    4644    824    700 S   0.0  0.0   0:00.00 getty
  984 root      20   0    4644    820    700 S   0.0  0.0   0:00.00 getty
  993 root      20   0    4644    812    700 S   0.0  0.0   0:00.00 getty
 1047 root      20   0    7796   2520   2020 S   0.0  0.1   0:00.54 sshd
 1057 root      20   0    2580    976    816 S   0.0  0.0   0:00.00 xinetd
 1076 root      20   0  171392   7936   4376 S   0.0  0.2  36:45.52 teamviewerd
 1103 root      20   0    3052    932    732 S   0.0  0.0   0:03.62 cron
 1104 daemon    20   0    2640    128      0 S   0.0  0.0   0:00.00 atd
 1105 root      20   0    8848   2808   2128 S   0.0  0.1   0:00.09 cups-browsed
 1107 root      20   0    2192    652    520 S   0.0  0.0   0:02.51 acpid
 1129 root      20   0    3976    720    520 S   0.0  0.0   0:33.57 irqbalance
 1138 mysql     20   0  321604  38688   2484 S   0.0  1.0   5:30.92 mysqld
 1150 whoopsie  20   0   45704   8580   3532 S   0.0  0.2   0:00.05 whoopsie
 1154 ganglia   20   0   21764   7108   2680 S   0.0  0.2   9:20.65 gmond
 1157 nobody    20   0   79164   2324   1316 S   0.0  0.1  10:57.26 gmetad
 1178 nobody    20   0    5548   1336   1136 S   0.0  0.0   0:06.23 dnsmasq
 1338 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
 1340 root      20   0   34868   3476   2780 S   0.0  0.1   0:00.19 console-kit-dae
 1418 jenkins   20   0    6152    308    164 S   0.0  0.0   0:00.00 daemon
 1426 jenkins   20   0 1310456 278320   8404 S   0.0  7.1   8:40.70 java
 1514 root      20   0   22048   4060   2868 S   0.0  0.1   0:00.34 winbindd
 1527 root      20   0   17608   2444   1424 S   0.0  0.1   0:03.94 nmbd
 1543 root      20   0   22048   2952   1752 S   0.0  0.1   0:01.14 winbindd
 1560 root      20   0   44416   5384   2736 S   0.0  0.1   0:00.03 lightdm
 1571 root      20   0  211284  73912  63248 S   0.0  1.9  14:08.74 Xorg
 1575 root      20   0   36404   9704   2964 S   0.0  0.2   0:04.68 accounts-daemon
 1618 kernoops  20   0    6388    952    712 S   0.0  0.0   0:11.26 kerneloops
 1630 redis     20   0   27860   7072    780 S   0.0  0.2   3:00.81 redis-server
 1657 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iprt
 1721 nagios    25   5    5960   1920   1148 S   0.0  0.0   3:11.04 nagios3
 2185 root      20   0   18112   3556   2836 S   0.0  0.1   0:00.03 lightdm
 2228 root      20   0   38912   4176   3336 S   0.0  0.1   0:17.28 upowerd
 2253 root      20   0   27052   1900    176 S   0.0  0.0   0:34.04 AuthenMngServic
 2275 rtkit     21   1   21360   1156    976 S   0.0  0.0   0:04.44 rtkit-daemon
 2460 root      20   0   24024    888    612 S   0.0  0.0   3:44.37 iNodeMon
 2491 root      20   0  108056  13824   9516 S   0.0  0.4   0:15.49 apache2
 2559 root      20   0    4644    812    700 S   0.0  0.0   0:00.00 getty
 2600 goldbeef  20   0   68992   6360   3116 S   0.0  0.2   0:01.15 gnome-keyring-d
 2602 goldbeef  20   0 1624900  30820   5184 S   0.0  0.8  11:51.11 TeamViewer.exe
